company,symbol,exchange,calls_found,calls_extracted,first_year,last_year
Alphabet,GOOG,NASDAQ,29,29,2018,2025
Amazon,AMZN,NASDAQ,29,29,2018,2025
Apple,AAPL,NASDAQ,31,31,2018,2026
Comcast,CMCSA,NASDAQ,29,29,2018,2025
Disney,DIS,NYSE,29,29,2019,2026
Meta Platforms,META,NASDAQ,29,29,2018,2025
Microsoft,MSFT,NASDAQ,29,29,2019,2026
Netflix,NFLX,NASDAQ,29,29,2018,2025
Paramount Global,PARA,NASDAQ,26,26,2018,2025
Roku,ROKU,NASDAQ,19,19,2021,2025
Samsung,SSNLF,OTC,24,24,2020,2025
Spotify,SPOT,NYSE,24,24,2020,2025
Tencent,TCEHY,OTC,7,7,2024,2025
Warner Bros Discovery,nan,nan,14,14,2022,2025
